chave_curva,chave_familia,codigo_fipe,marca,modelo,ano_modelo,combustivel,data_referencia,mes_referencia,preco_nominal,tipo,valor_fipe,codigo_marca,codigo_modelo,codigo_ano,origem
025266-2|32000|flex|excluir,renault|kwid|base|flex|excluir,025266-2,Renault,KWID Zen 1.0 Flex 12V 5p Mec.,32000,Flex,2024-09,setembro/2024,39795.000000,usado,,,,,
025266-2|32000|flex|excluir,renault|kwid|base|flex|excluir,025266-2,Renault,KWID Zen 1.0 Flex 12V 5p Mec.,32000,Flex,2024-11,novembro/2024,39152.000000,usado,,,,,
025266-2|32000|flex|excluir,renault|kwid|base|flex|excluir,025266-2,Renault,KWID Zen 1.0 Flex 12V 5p Mec.,32000,Flex,2025-01,janeiro/2025,39040.000000,usado,,,,,
025266-2|32000|flex|excluir,renault|kwid|base|flex|excluir,025266-2,Renault,KWID Zen 1.0 Flex 12V 5p Mec.,32000,Flex,2025-03,março/2025,38966.000000,usado,,,,,
025266-2|32000|flex|excluir,renault|kwid|base|flex|excluir,025266-2,Renault,KWID Zen 1.0 Flex 12V 5p Mec.,32000,Flex,2025-05,maio/2025,38747.000000,usado,,,,,
025266-2|32000|flex|excluir,renault|kwid|base|flex|excluir,025266-2,Renault,KWID Zen 1.0 Flex 12V 5p Mec.,32000,Flex,2025-07,julho/2025,38414.000000,usado,,,,,
025266-2|32000|flex|excluir,renault|kwid|base|flex|excluir,025266-2,Renault,KWID Zen 1.0 Flex 12V 5p Mec.,32000,Flex,2025-09,setembro/2025,37903.000000,usado,,,,,
025266-2|32000|flex|excluir,renault|kwid|base|flex|excluir,025266-2,Renault,KWID Zen 1.0 Flex 12V 5p Mec.,32000,Flex,2025-11,novembro/2025,37525.000000,usado,,,,,
025266-2|32000|flex|excluir,renault|kwid|base|flex|excluir,025266-2,Renault,KWID Zen 1.0 Flex 12V 5p Mec.,32000,Flex,2026-01,janeiro/2026,36931.000000,usado,,,,,
025266-2|32000|flex|excluir,renault|kwid|base|flex|excluir,025266-2,Renault,KWID Zen 1.0 Flex 12V 5p Mec.,32000,Flex,2026-03,março/2026,36235.000000,usado,,,,,
025266-2|32000|flex|excluir,renault|kwid|base|flex|excluir,025266-2,Renault,KWID Zen 1.0 Flex 12V 5p Mec.,32000,Flex,2026-05,maio/2026,37254.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2018-09,09/2018,192041.000000,zero_km,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2019-05,maio/2019,177100.000000,usado,,,,,
